assetid,name,strno,street,suburb,classif,park_id,lat,lon
PL164,Richard Reserve Playground,12-14,Richard Street,Templestowe Lower,Small Playground,FLPK239,-37.76292241100,145.10738711600
PL165,Stutt Reserve Playground,22,Golf Links Court,Doncaster,Small Playground,FLPK273,-37.78635809700,145.10714856200
PL166,Lillian Reserve Playground,13,Lilian Street,Bulleen,Small Playground,FLPK181,-37.76968081800,145.09607332400
PL167,The Pines Reserve Playground,520,Blackburn Road,Doncaster East,District Playground,FLPK283,-37.76033502400,145.17024827000
PL168,Ruffey Lake Park (Church St) Playground,228-240,Church Road,Templestowe,Small Playground,FLPK247,-37.77588203000,145.14129216000
PL169,Wonga Park Reserve - (Gooligulch) Playground,9-13,Old Yarra Road,Wonga Park,Small Playground,FLPK316,-37.73983999600,145.26761739900
PL170,Aquarena Aquatic and Leisure Centre Playground,139,Williamsons Road,Templestowe Lower,Small Playground,FLPK28,-37.77427703700,145.12258888200
PL171,Doncaster Reserve Playground (Jackson Ct),918,Doncaster Road,Doncaster East,Small Playground,FLPK92,-37.78905362500,145.15039467900
PL172,Westwood Reserve Playground,9,Westwood Drive,Bulleen,Small Playground,FLPK306,-37.77966755800,145.10207504800
PL173,Noral Reserve Playground,1,Noral Court,Templestowe,Small Playground,FLPK213,-37.77280918000,145.15266899900
PL174,Schramms Reserve Playground (North),2-50,J J Tully Drive,Doncaster,Small Playground,FLPK257,-37.78081237600,145.13462526600
PL175,Makybe Reserve (Tullamore) Playspace,40,Stables Circuit,Doncaster,Large Playground,FLPK421,-37.78670617500,145.11664900200
PL176,Southern Gully Reserve - East (Tullamore) Playspace,10,Heritage Boulevard,Doncaster,Large Playground,FLPK420,-37.78526015500,145.11508652300
PL177,Southern Gully Reserve - West (Tullamore) Playspace,13,Heritage Boulevard,Doncaster,Large Playground,FLPK422,-37.78466701700,145.11330851900
PL178,Morello Playspace,47,Morello Cicrle,Doncaster East,Small Playground,FLPK283,-37.76201057000,145.17030180000
Unknown01,Lawford Reserve Playground,23,Lawford Street,Doncaster,Large Playground,FLPK179,-37.78527334400,145.12027958100
Unknown02,Gainsborough Reserve Playground,24,Gainsborough Street,Doncaster East,Small Playground,FLPK355,-37.78382153100,145.15554838500
