Area,ID,Constructed,Location,PlayType,Maintain,Site,Ward,long,lat
Bakery Hill,36882,2008/1/1,Playground - Len T Frazer Reserve,PG-Playground,City of Ballarat,Len T Frazer Reserve,Central,143.8674611,-37.56577574
Bakery Hill,138861,2011/12/1,Basketball Court - Len T Frazer Reserve,PG-Play Equipment,City of Ballarat,Len T Frazer Reserve,Central,143.8674611,-37.56577574
Lucas,272840,2014/8/17,Playground - Lucas Neighbourhood Park Lucas,PG-Playground,City of Ballarat,Lucas Neighbourhood Park,North,143.781139,-37.55010601
Miners Rest,36894,2006/1/1,Playground - Macarthur Park Wetlands,PG-Playground,City of Ballarat,Macarthur Park Wetlands,North,143.810416,-37.50075327
Soldiers Hill,234264,2014/4/8,Playground - Macarthur Street Reserve Soldiers Hill,PG-Playground,City of Ballarat,Macarthur Street Reserve,Central,143.8550656,-37.55085223
Wendouree,36896,1995/1/1,Playground - Marigold Street Reserve Wendouree,PG-Playground,City of Ballarat,Marigold Street Reserve,North,143.8226258,-37.52938081
Mount Clear,284805,2017/2/1,Playground - Marina Drive Reserve Mt Clear,PG-Playground,City of Ballarat,Marina Drive Reserve,South,143.8649539,-37.60788664
Ballarat North,138860,2011/1/1,Playground - Marks Reserve Ligar St Ballarat North,PG-Playground,City of Ballarat,Marks Reserve,North,143.8629542,-37.54288954
Sebastopol,136468,2011/6/13,Playground - Marty Busch Reserve,PG-Playground,City of Ballarat,Marty Busch Reserve,South,143.8448448,-37.60308371
Mount Pleasant,284806,2017/2/1,Playground - McManus Drive Reserve Mt Pleasant,PG-Playground,City of Ballarat,McManus Drive Reserve,South,143.8585873,-37.58509009
Wendouree,258893,2015/10/1,Playground - McNulty Drive Reserve Wendouree,PG-Playground,City of Ballarat,McNulty Drive Reserve,North,143.8128036,-37.5266443
Delacombe,114847,2010/6/1,Playground - Menzies Court Reserve Delacombe,PG-Playground,City of Ballarat,Menzies Court Reserve,South,143.8212242,-37.59165721
Ballarat North,36920,2007/1/1,Playground - Midlands Reserve,PG-Playground,City of Ballarat,Midlands Reserve,North,143.8595315,-37.54030618
Ballarat North,229118,2014/1/22,Aquatic Playspace - Midlands Reserve,PG-Aquatic Playspace,City of Ballarat,Midlands Reserve,North,143.860245,-37.53947901
Miners Rest,36923,2004/1/1,Playground - Miners Rest Reserve Miners Rest,PG-Playground,City of Ballarat,Miners Rest Reserve,North,143.7977043,-37.48050982
Wendouree,138864,2011/1/1,Playground - Montgomery Street Reserve,PG-Playground,City of Ballarat,Montgomery Street Reserve,North,143.8305299,-37.52561691
Redan,36930,1992/1/1,Playground - Morshead Park,PG-Playground,City of Ballarat,Morshead Park,South,143.8335146,-37.58068689
Sebastopol,304713,2020/12/1,Playground - MR Power Reserve Sebastopol,PG-Playground,City of Ballarat,MR Power Reserve,South,143.8309461,-37.60064498
